Ticker,SMA_20,SMA_50,SMA_100,SMA_150,SMA_200,Best_SMA,Golden_Cross_50_200,Golden_Cross_20_150,Golden_Cross_50_150
NTAP,31.133151482916787,23.766820947245883,40.9755613874186,31.558704580923557,12.830286861329887,SMA_100,12.830286861329887,31.558704580923557,31.558704580923557
NVDA,27.043818752417803,18.11923327222732,85.06298227702698,84.80831765027548,21.516464905209652,SMA_100,21.516464905209652,84.80831765027548,84.80831765027548
META,23.952890391956384,12.527979556974556,33.02573952489516,36.16435836476815,-1.5688472070692239,SMA_150,-1.5688472070692239,36.16435836476815,36.16435836476815
SMCI,82.69997116627607,31.560589052782074,113.20493319527729,142.75113167397467,-15.125679365799405,SMA_150,-15.125679365799405,142.75113167397467,142.75113167397467
LLY,2.672102423387357,2.093743004867832,33.6661162355301,32.54280678913689,6.661725287502829,SMA_100,6.661725287502829,32.54280678913689,32.54280678913689
SPY,12.881360907513706,10.728061964432989,15.340391941719556,11.608202065713947,2.902850337415519,SMA_100,2.902850337415519,11.608202065713947,11.608202065713947
QQQ,1.8605160829940681,5.941765319837177,14.235426826122954,13.376446057799562,4.420694155837957,SMA_100,4.420694155837957,13.376446057799562,13.376446057799562
BTC-USD,-13.357318089915527,78.2029296873989,48.36872663836028,77.21597336431134,53.82663214763627,SMA_50,53.82663214763627,77.21597336431134,77.18314006728875
TSLA,9.066162440256953,-61.319410089130244,-2.434562953617614,18.409693548593243,-13.616755493187139,SMA_150,-13.616755493187139,15.529993323886304,26.436423517347794
SNOW,-39.014128883185386,8.887254124427201,14.092190376204972,-2.1496809921956683,0.8177560386880889,SMA_100,-6.397724068379363,-12.418203946449625,-21.834379291754434
MSFT,4.921807944629331,16.615797466503945,-0.2920436647166791,15.578415910780208,1.5065451559770793,SMA_50,1.5065451559770793,15.578415910780208,15.578415910780208
GOOG,-14.218261562902912,-22.932819978240136,-5.5342528779094735,18.10635916386929,20.98293583318972,SMA_200,20.98293583318972,25.14155983294819,25.14155983294819
AAPL,7.640261967821315,5.183132237893862,-9.221439255846974,-11.456055543851152,-2.7813672847458615,SMA_20,-10.01571539790439,-21.043890690373946,-17.352563744716644
NFLX,14.493856841206954,20.42154173154671,35.97414243027862,34.4895849959769,6.499297502723433,SMA_100,6.499297502723433,34.4895849959769,34.4895849959769
CRWD,-5.1709670187788825,47.95955866476096,49.79470049401075,38.8246550455408,7.698013292873085,SMA_100,7.698013292873085,38.8246550455408,38.8246550455408
PANW,-35.62204059313604,-32.314202914651545,-23.726818755251145,-13.186560633889876,2.6453873279853046,SMA_200,11.943955869530399,-8.560586312224538,-2.8257676504131357
